recipient_email,sent_at,sender_used,source_event
info@adam.com.sa,2026-07-25T22:00:11.110+03:00,hasanadam506@11726105.brevosend.com,opened
info@adeng.com.sa,2026-07-24T13:13:04.102+03:00,jobapplier@agentmail.to,error
info@albawani.net,2026-07-24T10:02:22.660+03:00,jobapplier@agentmail.to,requests
info@almowatin.com.sa,2026-07-24T13:03:53.764+03:00,jobapplier@agentmail.to,error
info@amo.com.sa,2026-07-24T13:10:16.263+03:00,jobapplier@agentmail.to,requests
info@arbetecareers.com,2026-07-24T20:19:39.638+03:00,jobapplier@agentmail.to,error
info@atco.com.sa,2026-07-24T10:28:21.493+03:00,jobapplier@agentmail.to,requests
info@atheeb.com,2026-07-24T10:11:28.762+03:00,jobapplier@agentmail.to,requests
info@azmeel.com,2026-07-24T10:12:22.681+03:00,jobapplier@agentmail.to,error
info@bridge-saudi.com,2026-07-24T13:12:15.399+03:00,jobapplier@agentmail.to,error
info@candpco.com,2026-07-24T12:38:42.812+03:00,jobapplier@agentmail.to,error
info@cemfa.com,2026-07-24T10:01:29.766+03:00,jobapplier@agentmail.to,requests
info@cga.com.sa,2026-07-24T10:19:36.480+03:00,jobapplier@agentmail.to,error
info@ejadah-consult.com,2026-07-25T00:03:14.026+03:00,jobapplier@agentmail.to,error
info@otc.com.sa,2026-07-24T13:13:56.634+03:00,jobapplier@agentmail.to,error
info@saadalessa.com,2026-07-24T12:35:21.255+03:00,jobapplier@agentmail.to,requests
info@saudiabv.com.sa,2026-07-25T19:16:29.411+03:00,jobapplier@agentmail.to,requests
info@zamil.com,2026-07-24T13:06:34.052+03:00,jobapplier@agentmail.to,error
job@maharah.com,2026-07-25T05:01:18.661+03:00,jobapplier@agentmail.to,error
jobs@babnimnim.com,2026-07-25T19:12:22.774+03:00,jobapplier@agentmail.to,requests
jobs@binajinah.com,2026-07-24T12:37:03.199+03:00,jobapplier@agentmail.to,error
jobs@drsulaimanalhabib.com,2026-07-25T19:11:35.575+03:00,jobapplier@agentmail.to,error
jobs@enjazconsult.com,2026-07-25T19:13:09.233+03:00,jobapplier@agentmail.to,error
jobs@nasco.com.sa,2026-07-25T19:03:05.125+03:00,jobapplier@agentmail.to,requests
kbr-amcdhr@kbr.com,2026-07-24T10:23:59.601+03:00,jobapplier@agentmail.to,error
maher@buruoj.com,2026-07-24T10:16:02.306+03:00,jobapplier@agentmail.to,requests
mail@almoajilholding.com,2026-07-24T10:08:48.073+03:00,jobapplier@agentmail.to,requests
mail@mcont.com,2026-07-24T13:03:02.157+03:00,jobapplier@agentmail.to,requests
management@agr.com,2026-07-24T13:02:10.493+03:00,jobapplier@agentmail.to,error
marketing.np@nesma.com,2026-07-24T10:27:25.755+03:00,jobapplier@agentmail.to,error
office.riyadh@fichtner.sa,2026-07-24T10:07:00.139+03:00,jobapplier@agentmail.to,requests
oliver.plunkett@burohappold.com,2026-07-24T10:15:07.148+03:00,jobapplier@agentmail.to,requests
rec@alojaimi.com,2026-07-24T10:25:44.413+03:00,jobapplier@agentmail.to,error
recruiting.ksa@mcdermott.com,2026-07-24T12:31:24.811+03:00,jobapplier@agentmail.to,requests
recruitment-ksa@ilf.com,2026-07-24T09:32:31.054+03:00,jobapplier@agentmail.to,requests
recruitment@aytb.com,2026-07-24T10:21:19.415+03:00,jobapplier@agentmail.to,error
recruitment@batook.com,2026-07-24T12:34:32.503+03:00,jobapplier@agentmail.to,error
recruitment@rawabiholding.com,2026-07-24T10:20:26.108+03:00,jobapplier@agentmail.to,requests
recruitment@shadecoc.com,2026-07-24T12:36:11.318+03:00,jobapplier@agentmail.to,requests
recruitment@sraco.com.sa,2026-07-24T10:22:14.064+03:00,jobapplier@agentmail.to,error
recruitments@zamil.sa,2026-07-24T13:05:45.080+03:00,jobapplier@agentmail.to,requests
resume@haifcompany.com,2026-07-25T19:07:21.744+03:00,jobapplier@agentmail.to,requests
riyadh@khatibalami.com,2026-07-24T10:03:19.671+03:00,jobapplier@agentmail.to,error
sabco@bechtel.com,2026-07-24T10:14:11.317+03:00,jobapplier@agentmail.to,error
saffar.alghawi@samsung.com,2026-07-24T10:18:42.768+03:00,jobapplier@agentmail.to,error
sales@blackcatgc.com,2026-07-24T13:04:51.248+03:00,jobapplier@agentmail.to,requests
saudia@baytur.org,2026-07-24T10:13:18.007+03:00,jobapplier@agentmail.to,error
saudiarabia@hays.com,2026-07-25T00:09:09.930+03:00,jobapplier@agentmail.to,requests
solaiman@sak-consult.com,2026-07-25T19:17:15.916+03:00,jobapplier@agentmail.to,requests
syed@sedna-eng.com,2026-07-24T10:05:05.440+03:00,jobapplier@agentmail.to,requests
tendering@candpco.com,2026-07-24T12:39:33.784+03:00,jobapplier@agentmail.to,error
wadaef2019@abdulla-fouad.com,2026-07-24T12:37:52.390+03:00,jobapplier@agentmail.to,error
info@jamjoompharma.com,2026-08-17,apply@hsndm.tech,old-subscription
info@petromin.com,2026-08-17,apply@hsndm.tech,old-subscription
info@jasarapmc.com,2026-08-17,apply@hsndm.tech,old-subscription
career-saudi@tuvsud.com,2026-08-18,apply@hsndm.tech,old-subscription
hr@satc.com.sa,2026-08-18,apply@hsndm.tech,old-subscription
jobs@radial.com.sa,2026-08-18,apply@hsndm.tech,old-subscription
job@mops-ksa.com,2026-08-18,apply@hsndm.tech,old-subscription
jobs@mis.com.sa,2026-08-18,apply@hsndm.tech,old-subscription
jobs@loramedical.net,2026-08-18,apply@hsndm.tech,old-subscription
careers@keir.com.sa,2026-08-18,apply@hsndm.tech,old-subscription
nabualsaud.admin@falcon.com.sa,2026-08-18,apply@hsndm.tech,old-subscription
ceo@asta.edu.sa,2026-08-18,apply@hsndm.tech,old-subscription
info@redcaviation.com,2026-08-20T10:53:09.814111+00:00,apply2@hsndm.tech,warmup-brevo-accepted:<202608201053.55618061602@smtp-relay.mailin.fr>
info@ssc-hr.com,2026-08-20T10:56:55.531926+00:00,apply2@hsndm.tech,warmup-brevo-accepted:<202608201056.89484562455@smtp-relay.mailin.fr>
info@maadaniyah.com,2026-08-20T11:08:37.906280+00:00,apply2@hsndm.tech,warmup-brevo-accepted:<202608201108.16473495342@smtp-relay.mailin.fr>
info@nupco.com,2026-08-20T11:10:46.154529+00:00,apply1@hsndm.tech,warmup-brevo-accepted:<202608201110.29727533419@smtp-relay.mailin.fr>
info@riyadhairports.com,2026-08-20T11:13:33.945527+00:00,apply1@hsndm.tech,warmup-brevo-accepted:<202608201113.56946923283@smtp-relay.mailin.fr>
info@spimaco.sa,2026-08-20T11:15:49.342026+00:00,apply1@hsndm.tech,warmup-brevo-accepted:<202608201115.14929780735@smtp-relay.mailin.fr>
info@nesmapartners.com,2026-08-20T11:19:38.082346+00:00,apply1@hsndm.tech,warmup-brevo-accepted:<202608201119.36062784563@smtp-relay.mailin.fr>
info@sipco.com.sa,2026-08-20T11:22:34.869755+00:00,apply1@hsndm.tech,warmup-brevo-accepted:<202608201122.31487348453@smtp-relay.mailin.fr>
info@tascoutsourcing.com,2026-08-20T11:26:15.039619+00:00,apply2@hsndm.tech,warmup-transport-uncertain-suppressed:transport_failed:HTTPError
info@saudireadymix.com.sa,2026-08-20T11:26:15.039656+00:00,apply2@hsndm.tech,warmup-transport-uncertain-suppressed:transport_failed:HTTPError
career-ksa@groupeseb.com,2026-08-21T15:01:33.864821+00:00,apply1@hsndm.tech,scheduled-transport-uncertain-suppressed:HTTPError
info@nabatat.com.sa,2026-08-21T18:36:09.246680+00:00,apply1@hsndm.tech,scheduled-transport-uncertain-suppressed:ReadTimeout
info@saudicable.com,2026-08-21T18:40:26.522047+00:00,apply2@hsndm.tech,scheduled-transport-uncertain-suppressed:ReadTimeout
info@tabukpharmaceuticals.com,2026-08-21T18:44:09.367567+00:00,apply1@hsndm.tech,scheduled-brevo-accepted:<202608211844.38698453713@smtp-relay.mailin.fr>
info@thiqah.sa,2026-08-21T18:47:02.096534+00:00,apply2@hsndm.tech,scheduled-transport-uncertain-suppressed:ReadTimeout
support@nana.sa,2026-08-21T18:50:20.571660+00:00,apply1@hsndm.tech,scheduled-brevo-accepted:<202608211850.36953835016@smtp-relay.mailin.fr>
info@najrancement.com,2026-08-21T18:54:23.408067+00:00,apply2@hsndm.tech,scheduled-transport-uncertain-suppressed:ReadTimeout
info@yasref.com,2026-08-21T18:57:51.104192+00:00,apply1@hsndm.tech,scheduled-brevo-accepted:<202608211857.12823339000@smtp-relay.mailin.fr>
info@saned.com.sa,2026-08-21T19:00:39.362509+00:00,apply2@hsndm.tech,scheduled-transport-uncertain-suppressed:ReadTimeout
info@wood.com,2026-08-21T19:03:21.915185+00:00,apply1@hsndm.tech,scheduled-brevo-accepted:<202608211903.24582386152@smtp-relay.mailin.fr>
info@saudiceramics.com,2026-08-21T19:16:00.790331+00:00,apply2@hsndm.tech,scheduled-brevo-accepted:<202608211916.74257559452@smtp-relay.mailin.fr>
info@mep.co,2026-08-21T19:17:52.214287+00:00,apply1@hsndm.tech,scheduled-brevo-accepted:<202608211917.64220256501@smtp-relay.mailin.fr>
info@metito.com,2026-08-21T19:19:11.243783+00:00,apply2@hsndm.tech,scheduled-brevo-accepted:<202608211919.86577856052@smtp-relay.mailin.fr>
info@sirc.sa,2026-08-21T19:20:50.347110+00:00,apply1@hsndm.tech,scheduled-brevo-accepted:<202608211920.95054998373@smtp-relay.mailin.fr>
info@zahid.com,2026-08-21T19:23:03.527674+00:00,apply2@hsndm.tech,scheduled-brevo-accepted:<202608211923.50690614983@smtp-relay.mailin.fr>
info@hirejubail.com,2026-08-21T19:25:00.324251+00:00,apply1@hsndm.tech,scheduled-brevo-accepted:<202608211925.23350608114@smtp-relay.mailin.fr>
hradmin@gulftekarabia.com,2026-08-21T19:27:02.614576+00:00,apply2@hsndm.tech,scheduled-brevo-accepted:<202608211927.91102707157@smtp-relay.mailin.fr>
jobs@coffeebeansksa.com,2026-08-21T19:28:06.592124+00:00,apply1@hsndm.tech,scheduled-brevo-accepted:<202608211928.93478202265@smtp-relay.mailin.fr>
recruitment.ksa@naffco.com,2026-08-21T19:29:38.008642+00:00,apply2@hsndm.tech,scheduled-brevo-accepted:<202608211929.92709961276@smtp-relay.mailin.fr>
info@alqunini.com,2026-08-21T19:31:04.883016+00:00,apply1@hsndm.tech,scheduled-brevo-accepted:<202608211931.81543645028@smtp-relay.mailin.fr>
info@realm-sa.com,2026-08-22T06:41:27.908028+00:00,apply2@hsndm.tech,scheduled-brevo-accepted:<202608220641.50143520986@smtp-relay.mailin.fr>
hr@almotawa.com,2026-08-22T06:44:36.220887+00:00,apply1@hsndm.tech,scheduled-brevo-accepted:<202608220644.59700071809@smtp-relay.mailin.fr>
careers@clariant-tamimi.com,2026-08-22T06:47:17.386129+00:00,apply2@hsndm.tech,scheduled-brevo-accepted:<202608220647.74109328456@smtp-relay.mailin.fr>
admin@aamcosa.com,2026-08-22T06:49:20.722249+00:00,apply1@hsndm.tech,scheduled-brevo-accepted:<202608220649.65776951626@smtp-relay.mailin.fr>
job@topazgulf.com,2026-08-22T06:51:45.726758+00:00,apply2@hsndm.tech,scheduled-brevo-accepted:<202608220651.48518775971@smtp-relay.mailin.fr>
info@narges.com.sa,2026-08-22T06:55:46.049729+00:00,apply1@hsndm.tech,scheduled-brevo-accepted:<202608220655.77424832070@smtp-relay.mailin.fr>
bassam@sgeme.com,2026-08-22T06:59:42.031099+00:00,apply2@hsndm.tech,scheduled-brevo-accepted:<202608220659.98883637665@smtp-relay.mailin.fr>
info@gfsxpress.com,2026-08-22T07:02:05.392519+00:00,apply1@hsndm.tech,scheduled-brevo-accepted:<202608220702.46913060595@smtp-relay.mailin.fr>
recruitment@aldowayan.com,2026-08-22T07:05:35.424973+00:00,apply2@hsndm.tech,scheduled-brevo-accepted:<202608220705.52860670071@smtp-relay.mailin.fr>
jobs@alarabgroup.com.sa,2026-08-22T07:09:19.781398+00:00,apply1@hsndm.tech,scheduled-brevo-accepted:<202608220709.97508945007@smtp-relay.mailin.fr>
job@mabani.com.sa,2026-08-22T18:32:08.046938+00:00,apply2@hsndm.tech,scheduled-brevo-accepted:<202608221832.99532684004@smtp-relay.mailin.fr>
career@norfex.sa,2026-08-22T18:35:59.599466+00:00,apply1@hsndm.tech,scheduled-brevo-accepted:<202608221835.24185500321@smtp-relay.mailin.fr>
career@yub.com.sa,2026-08-22T18:39:04.358595+00:00,apply2@hsndm.tech,scheduled-brevo-accepted:<202608221839.96862029279@smtp-relay.mailin.fr>
hr.cv@riyadhluxurylive.com,2026-08-22T18:41:58.922055+00:00,apply1@hsndm.tech,scheduled-brevo-accepted:<202608221841.37263222602@smtp-relay.mailin.fr>
hr@bconsult.com.sa,2026-08-22T18:45:22.790937+00:00,apply2@hsndm.tech,scheduled-brevo-accepted:<202608221845.59545856420@smtp-relay.mailin.fr>
hr@daralcode.com,2026-08-22T18:48:16.357858+00:00,apply1@hsndm.tech,scheduled-brevo-accepted:<202608221848.85338407540@smtp-relay.mailin.fr>
hr@espressoculture.sa,2026-08-22T18:50:17.985868+00:00,apply2@hsndm.tech,scheduled-brevo-accepted:<202608221850.26579691941@smtp-relay.mailin.fr>
hr@sukoon.com.sa,2026-08-22T18:53:33.510561+00:00,apply1@hsndm.tech,scheduled-brevo-accepted:<202608221853.50998805828@smtp-relay.mailin.fr>
hr@sctrd2.com,2026-08-22T18:57:06.094764+00:00,apply2@hsndm.tech,scheduled-brevo-accepted:<202608221857.45648489925@smtp-relay.mailin.fr>
career@orangepharmacy.sa,2026-08-22T18:59:29.618459+00:00,apply1@hsndm.tech,scheduled-brevo-accepted:<202608221859.19585129647@smtp-relay.mailin.fr>
recruitment@defaflogistics.com,2026-08-23T06:42:05.435277+00:00,apply2@hsndm.tech,scheduled-brevo-accepted:<202608230642.60668922684@smtp-relay.mailin.fr>
hrksa.foodservice@transmed.com,2026-08-23T06:45:07.985005+00:00,apply1@hsndm.tech,scheduled-brevo-accepted:<202608230645.47089075684@smtp-relay.mailin.fr>
hr@address-group.com,2026-08-23T06:48:01.616345+00:00,apply2@hsndm.tech,scheduled-brevo-accepted:<202608230648.34044097164@smtp-relay.mailin.fr>
careers@almuaina.com,2026-08-23T06:51:40.128542+00:00,apply1@hsndm.tech,scheduled-brevo-accepted:<202608230651.19471251690@smtp-relay.mailin.fr>
masheilalhamlaji@bfco.sa,2026-08-23T06:55:29.702700+00:00,apply2@hsndm.tech,scheduled-brevo-accepted:<202608230655.25504911994@smtp-relay.mailin.fr>
recruitment@alinco.com.sa,2026-08-23T06:59:20.272068+00:00,apply1@hsndm.tech,scheduled-brevo-accepted:<202608230659.90749007536@smtp-relay.mailin.fr>
recruitment.ksa@redtag.ae,2026-08-23T07:03:09.795495+00:00,apply2@hsndm.tech,scheduled-brevo-accepted:<202608230703.40058742228@smtp-relay.mailin.fr>
careers@najdroads.com.sa,2026-08-23T07:06:59.319898+00:00,apply1@hsndm.tech,scheduled-brevo-accepted:<202608230706.96642230171@smtp-relay.mailin.fr>
jobs@fbs.com.sa,2026-08-23T07:09:28.048222+00:00,apply2@hsndm.tech,scheduled-brevo-accepted:<202608230709.56114774691@smtp-relay.mailin.fr>
hr@ingaz.com.sa,2026-08-23T07:11:53.601944+00:00,apply1@hsndm.tech,scheduled-brevo-accepted:<202608230711.90467491119@smtp-relay.mailin.fr>
info@aiedco.com,2026-08-23T18:31:15.725763+00:00,apply2@hsndm.tech,scheduled-brevo-accepted:<202608231831.96325436683@smtp-relay.mailin.fr>
tm.ayanalghamdi@modernmills.com.sa,2026-08-23T18:33:51.036021+00:00,apply1@hsndm.tech,scheduled-brevo-accepted:<202608231833.99521859142@smtp-relay.mailin.fr>
hr_talent@alfalahauto.net,2026-08-23T18:36:22.105959+00:00,apply2@hsndm.tech,scheduled-brevo-accepted:<202608231836.21375560269@smtp-relay.mailin.fr>
hr@balancelab.sa,2026-08-23T18:39:48.422511+00:00,apply1@hsndm.tech,scheduled-brevo-accepted:<202608231839.39575924677@smtp-relay.mailin.fr>
careers@araamis.com,2026-08-23T18:42:49.424801+00:00,apply2@hsndm.tech,scheduled-brevo-accepted:<202608231842.91142136422@smtp-relay.mailin.fr>
careers@slf-sa.com,2026-08-23T18:45:39.743028+00:00,apply1@hsndm.tech,scheduled-brevo-accepted:<202608231845.74075940183@smtp-relay.mailin.fr>
reception.ksa@leaders-fort.com,2026-08-23T18:48:53.732101+00:00,apply2@hsndm.tech,scheduled-brevo-accepted:<202608231848.99870757874@smtp-relay.mailin.fr>
hr1@allureclinics.net,2026-08-23T18:52:26.044898+00:00,apply1@hsndm.tech,scheduled-brevo-accepted:<202608231852.23736764521@smtp-relay.mailin.fr>
hr.department@nwbus.sa,2026-08-23T18:56:13.151835+00:00,apply2@hsndm.tech,scheduled-brevo-accepted:<202608231856.47891497545@smtp-relay.mailin.fr>
jobs@olivearabia.com,2026-08-23T18:59:44.505832+00:00,apply1@hsndm.tech,scheduled-brevo-accepted:<202608231859.82569826411@smtp-relay.mailin.fr>
