Company,Industry,City (KSA),Email,Source URL,Confidence,MX
Sabka Al Jusore,Transport & Logistics,Qassim,jobs@sabkaljusore.com,https://t.me/s/Alkastabanf,high,OK
Aman,Real Estate Development,Riyadh,HR@aman.sa,https://t.me/s/Alkastabanf,high,OK
Mawarid Food Trading,Food Trading,Riyadh,meed-hr@mawarid-dt.com.sa,https://t.me/s/Alkastabanf,high,OK
THE QA,Cafe & F&B Design,Riyadh,hr@theqa.sa,https://t.me/s/Alkastabanf,high,OK
CSCEC (China State Construction),Construction,Riyadh,hr_ksa@cscec.ae,https://t.me/s/Alkastabanf,high,OK
Myanoosh,Restaurant & F&B,KSA,Job@myanoosh.com,https://t.me/s/EasternJobs,high,OK
Blue Scope,Oil & Gas Services,KSA,info@blue-scope.co,https://t.me/s/Saudirecruiters,high,OK
Zeyut,Food & Beverage,KSA,Jobs@zeyut.com,https://t.me/s/EasternJobs,high,OK
DHB Holding,Holding & Investments,KSA,Jobs-KSA@dhbholding.com,https://t.me/s/Saudirecruiters,high,OK
Alkuhaimi,Contracting & Welding,Dammam,Career@alkuhaimi.com,https://t.me/s/almusaedsa,high,OK
Paclindus,Industrial Services,KSA,S.arkula@paclindus.com,https://t.me/s/Saudirecruiters,high,OK
Byrner Rental,Car Rental,KSA,hr.ksa@byrnerental.com,https://t.me/s/Saudirecruiters,high,OK
Atlas Distribution,Distribution & Trading,KSA,cv@atlas-dis.com,https://t.me/s/Saudirecruiters,high,OK
Dopeamine,Marketing & Events,KSA,recruitment@dopeamine.sa,https://t.me/s/Saudirecruiters,high,OK
Al Majal,Business Services,KSA,Jobs@almajal.sa,https://t.me/s/Saudirecruiters,high,OK
United Expertise,HR & Business Services,Riyadh,Admin.s@unitedexpertise.com,https://t.me/s/Saudirecruiters,high,OK
Nasmati,Food & Beverage,KSA,hrjob@nasmati.net,https://t.me/s/Saudirecruiters,high,OK
TWO,Food & Beverage,KSA,Recruitment@two.sa,https://t.me/s/Saudirecruiters,high,OK
Farhain International,Trading & Procurement,KSA,Hrjob@farhaintl.com,https://t.me/s/Saudirecruiters,high,OK
Riyadh Cables,Cable Manufacturing,Riyadh,Careers@riyadh-cables.com,https://t.me/s/Saudirecruiters,high,OK
LX Pantos KSA,Logistics (Multinational),Riyadh,saad.alotaibi@lxpantos.com,https://t.me/s/Saudirecruiters,high,OK
Al Henaky,Contracting,Khamis Mushait,jobs@alhenaky.org,https://t.me/s/almusaedsa,high,OK
Texofib,Industrial (HSE),KSA,career@texofib.com,https://t.me/s/almusaedsa,high,OK
Reval,Facility Operations,KSA,Job@Reval-sa.com,https://t.me/s/almusaedsa,high,OK
Saudi Radwa,Poultry & Food,Qassim,career@saudiradwa.com,https://t.me/s/almusaedsa,high,OK
Hilton (Spark by Hilton Makkah),Hospitality,Makkah,Hanouf.AbuAli@Hilton.com,https://t.me/s/almusaedsa,high,OK
Razeen Real Estate,Real Estate,KSA,info@razeen-re.com,https://t.me/s/almusaedsa,high,OK
Altoukhi,Contracting,KSA,khalil.s@altoukhi.com,https://t.me/s/almusaedsa,high,OK
PR Globals,Recruitment (O&G),KSA,Muqqadas@prglobals.com,https://t.me/s/almusaedsa,high,OK
ICAD,Engineering Consultancy,KSA,careers@icad.com,https://t.me/s/almusaedsa,high,OK
Alwasail,Business Services,KSA,job@alwasail.com,https://t.me/s/Saudirecruiters,high,OK
Taam,Food & Beverage,KSA,recruitment@taam.sa,https://t.me/s/Saudirecruiters,high,OK
Emaan,Business Services,KSA,jobs@emaan.com.sa,https://t.me/s/Saudirecruiters,high,OK
Lastmade,Creative Studio,KSA,recruitment@lastmade.com,https://t.me/s/Saudirecruiters,high,OK
Le Premier,Hospitality,KSA,jobs@lepremier.com.sa,https://t.me/s/Saudirecruiters,high,OK
GTE,Contracting & Engineering,KSA,recruitment@gte.sa,https://t.me/s/Saudirecruiters,high,OK
Get Smart,Education & Training,KSA,CV@getsmart.sa,https://t.me/s/Saudirecruiters,high,OK
Talat School,Education,Jeddah,Jobs@talatschool.edu.sa,https://t.me/s/Saudirecruiters,high,OK
Al Madina Media,Media & Publishing,KSA,Talent.acquisition@almadina.com.sa,https://t.me/s/Saudirecruiters,high,OK
Darsonbol,Contracting,KSA,recruitment@darsonbol.com,https://t.me/s/Saudirecruiters,high,OK
Falcon Pack (Jeddah),Packaging Manufacturing,Jeddah,reception.jeddah@falconpack.ae,https://t.me/s/Saudirecruiters,high,OK
Nawaql,Environmental Services,Riyadh,gad-ah@nawaql.com.sa,https://t.me/s/Saudirecruiters,high,OK
Energia KSA,Energy,Riyadh,Recruitment@energiaksa.com,https://t.me/s/Saudirecruiters,high,OK
Saudi Paper,Paper Manufacturing,Dammam,careers@saudipaper.com,https://t.me/s/Saudirecruiters,high,OK
MyTable,Restaurant Technology,Riyadh,recruitment@mytable.sa,https://t.me/s/Saudirecruiters,high,OK
Mesmack,Contracting,Al Khobar,career@mesmack.com,https://t.me/s/Saudirecruiters,high,OK
Al Khedr Cars,Automotive,Riyadh,Alkhidhr1@alkhedrcars.com,https://t.me/s/Saudirecruiters,high,OK
Hulul KSA,Business Services,KSA,jobs@hululksa.com,https://t.me/s/Saudirecruiters,high,OK
Reda National,Contracting,KSA,yazeed.nasser@redanational.com,https://t.me/s/Saudirecruiters,high,OK
EXP KSA,Engineering Consultancy,KSA,Nadyah.alzuabi@exp.sa,https://t.me/s/Saudirecruiters,high,OK
Dalba,Business Services,KSA,Jaber.Alnajei@dalba.com.sa,https://t.me/s/Saudirecruiters,high,OK
Stars Smile,Healthcare (Dental),KSA,Jobs@starssmile.com.sa,https://t.me/s/Saudirecruiters,high,OK
Leylaty,Hospitality & Events,KSA,career@leylaty.com.sa,https://t.me/s/Saudirecruiters,high,OK
Alfanar,Electrical Manufacturing,Riyadh,Inad.Almalki@alfanar.com,https://t.me/s/Saudirecruiters,high,OK
Al Benyah,Contracting,KSA,Forjobs@albenyah.com,https://t.me/s/Saudirecruiters,high,OK
iDev,IT Services,KSA,recruitment@idev.com.sa,https://t.me/s/Saudirecruiters,high,OK
Advanced Construction,Construction,KSA,recruitment@advancedconstruction.com.sa,https://t.me/s/Saudirecruiters,high,OK
Aldella,Trading & Services,KSA,careers@aldella.com.sa,https://t.me/s/Saudirecruiters,high,OK
Leejam (Fitness Clubs),Fitness & Health,KSA,careers@leejam.com.sa,https://t.me/s/Saudirecruiters,high,OK
Ascott KSA,Serviced Apartments,KSA,jobs.aror@the-ascott.com,https://t.me/s/Saudirecruiters,high,OK
Asfour Hotels,Hospitality,KSA,recruitment@asfourhotels.com,https://t.me/s/Saudirecruiters,high,OK
JISR Home Care,Healthcare,KSA,a.marzouk@jisrhc.com,https://t.me/s/Saudirecruiters,high,OK
Al Amthal,Investment & Finance,KSA,Talent@al-amthal.com.sa,https://t.me/s/Saudirecruiters,high,OK
Seven Car Lounge,Automotive Services,KSA,jobs@sevencarlounge.com,https://t.me/s/Saudirecruiters,high,OK
Al Hooty Stanger,Contracting,KSA,Jobs@alhotystanger.com,https://t.me/s/Saudirecruiters,high,OK
Arab Open University,Education,KSA,ksajobs@arabou.edu.sa,https://t.me/s/Saudirecruiters,high,OK
Growth Partner,Business Services,KSA,careers@growthpartner.sa,https://t.me/s/Saudirecruiters,high,OK
Osaimi Engineering,Engineering Consultancy,KSA,Reception.hd@osaimiengineering.com,https://t.me/s/Saudirecruiters,high,OK
ZYIND,Technology,KSA,HR1@zyind-sa.com,https://t.me/s/Saudirecruiters,high,OK
TGR MCC,Contracting,KSA,jobs@tgrmccksa.com,https://t.me/s/Saudirecruiters,high,OK
F-Horizon,Engineering Services,KSA,fhs@f-horizon.com,https://t.me/s/Saudirecruiters,high,OK
Dynex Arabia,Industrial Services,KSA,job@dynexarabia.com,https://t.me/s/Saudirecruiters,high,OK
Feedco,Animal Feed Manufacturing,KSA,careers@feedco.com.sa,https://t.me/s/Saudirecruiters,high,OK
Taxiat,Transport Services,KSA,hr4@taxiat.com.sa,https://t.me/s/Saudirecruiters,high,OK
Roxa Shop,E-commerce Retail,KSA,hr@roxashop.com,https://t.me/s/Saudirecruiters,high,OK
TPKSA,Business Services,KSA,Ibtsam@tpksa.com,https://t.me/s/Saudirecruiters,high,OK
GulfCX,Customer Experience,BPM,Riyadh,JobsRiyadh@gulfcx.com,https://t.me/s/Saudirecruiters,high,OK
East Gas,Energy & Gas,KSA,hr@eastgas.com.sa,https://t.me/s/Saudirecruiters,high,OK
Rose Sweets,Food & Beverage,KSA,job@rosesweets.com.sa,https://t.me/s/Saudirecruiters,high,OK
