email,role_category,region,source,status,sample_subject
careers@acts-group.com,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,"Application - Procurement & Logistics Officer (Industrial
 "
careers@alhudaifhr.com,Logistics/Supply-Chain,Intl,verified-Sent-delivered,DELIVERED,Application for Operations/Supply Chain Role at Al Hudaif
careers@alkhodari.com,Logistics/Supply-Chain,Intl,verified-Sent-delivered,DELIVERED,Application — Operations/Supply Chain — Hassan Adam
careers@almarai.com,Logistics/Supply-Chain,Intl,verified-Sent-delivered,DELIVERED,Application — Supply Chain / Operations (Almarai) — Hassan A
careers@almosafer.com,Logistics/Supply-Chain,Intl,verified-Sent-delivered,DELIVERED,Application for Logistics and Operations Position at Almosaf
careers@almurjanhospital.com,Logistics/Supply-Chain,Intl,verified-Sent-delivered,DELIVERED,Healthcare Operations / Supply Chain Application — Hasan Ada
careers@aloula.com,Logistics/Supply-Chain,Intl,verified-Sent-delivered,DELIVERED,Application — Aerodrome Operations Manager (Aloula Aviation)
careers@alrashed.com,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,Industrial Engineer (Dammam) - Hassan Adam | Lean / Logistic
careers@arabiancementcompany.com,Recruiting/TA,Intl,verified-Sent-delivered,DELIVERED,"Automated recruitment for Arabian Cement — 15+ platforms, AI"
careers@aramco.com,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,Application for Industrial Engineer Position at Aramco
careers@becarabia.com,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,"Application - Purchasing Team Leader, Riyadh (Industrial Eng"
careers@chedihegra.com,Healthcare,Intl,verified-Sent-delivered,DELIVERED,Automate Chedi hospitality recruitment across Saudi location
careers@dallah-hospital.com,Logistics/Supply-Chain,Intl,verified-Sent-delivered,DELIVERED,Application — Operations/Supply Chain (Healthcare) — Hassan 
careers@dnata.com,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,Application - Industrial Engineering / Ground Operations (Sa
careers@gccwalkin.com,General/Other,Intl,verified-Sent-delivered,DELIVERED,Job Opportunity Inquiry — GCC Walkin — Hassan Adam (Riyadh)
careers@globaledventures.co.uk,General/Other,MENA/Intl,verified-Sent-delivered,DELIVERED,Job Opportunity Inquiry — Global Edventures — Hassan Adam (R
careers@ihrcanada.com,General/Other,Intl,verified-Sent-delivered,DELIVERED,Job Opportunity Inquiry — IHR Canada — Hassan Adam (Riyadh)
careers@innosoft.sa,Logistics/Supply-Chain,Saudi/GCC,verified-Sent-delivered,DELIVERED,"Application - Operations / Business Process (Saudi National,"
careers@jarir.com,Logistics/Supply-Chain,Intl,verified-Sent-delivered,DELIVERED,Application for Logistics and Operations Position at Jarir
careers@jhah.com,Logistics/Supply-Chain,Intl,verified-Sent-delivered,DELIVERED,Application — Operations / Supply Chain (JHAH) — Hassan Adam
careers@jobswind.com,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,Application: Industrial Engineer (Process Optimization) - Ha
careers@kfshrc.edu.sa,Logistics/Supply-Chain,Saudi/GCC,verified-Sent-delivered,DELIVERED,Application — Operations/Supply Chain (Healthcare) — Hassan 
careers@maaden.com.sa,Logistics/Supply-Chain,Saudi/GCC,verified-Sent-delivered,DELIVERED,Application — Operations / Supply Chain (Maaden) — Hassan Ad
careers@maffire.com,Recruiting/TA,Intl,verified-Sent-delivered,DELIVERED,"Recruitment automation for MAF Fire ME — 15+ platforms, AI C"
careers@nahdi.com,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,Application for Industrial Engineer Position at Nahdi
careers@nesr.com,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,"Application - Supply Chain / Operations (KSA) | Hassan Adam,"
careers@parsons.com,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,Application — Industrial Engineering / Supply Chain Graduate
careers@qaiwangroup.com,Logistics/Supply-Chain,Intl,verified-Sent-delivered,DELIVERED,Application — Operations/Supply Chain — Hassan Adam
careers@safari.com.sa,Logistics/Supply-Chain,Saudi/GCC,verified-Sent-delivered,DELIVERED,Application for Operations/Supply Chain Role at Safari
careers@saucebossksa.com,General/Other,Intl,verified-Sent-delivered,DELIVERED,Job Opportunity Inquiry — Sauce Boss KSA — Hassan Adam (Riya
careers@stc.com.sa,Logistics/Supply-Chain,Saudi/GCC,verified-Sent-delivered,DELIVERED,Application — Operations / Supply Chain (STC) — Hassan Adam
careers@tamimiengineering.com,Logistics/Supply-Chain,Intl,verified-Sent-delivered,DELIVERED,Application — Operations/Supply Chain — Hassan Adam
careers@teacherhorizons.com,Education,Intl,verified-Sent-delivered,DELIVERED,Job Opportunity Inquiry — Teacher Horizons — Hassan Adam (Ri
careers@tgps.pk,Logistics/Supply-Chain,MENA/Intl,verified-Sent-delivered,DELIVERED,Application for Operations/Supply Chain Role
careers@zain.com,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,Application for Industrial Engineer Position at Zain
catcosa@catcosa.com,Logistics/Supply-Chain,Intl,verified-Sent-delivered,DELIVERED,Application for Operations/Supply-Chain Role at Catcosa
central@binomairah.com,Logistics/Supply-Chain,Intl,verified-Sent-delivered,DELIVERED,Application — Equipment Logistics Manager (Riyadh) — Hassan 
chrisresto@blueprinttalent.com,Logistics/Supply-Chain,Intl,verified-Sent-delivered,DELIVERED,Application — Logistics Specialist (Riyadh) — Hassan Adam
clientmiddleeast@michaelpage.ae,Logistics/Supply-Chain,MENA/Intl,verified-Sent-delivered,DELIVERED,Candidate registration — Operations Coordinator (Saudi) — Ha
corporate@alrashed.com,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,"Application - Industrial Engineer, Dammam (CV on request)"
crm3@saco-ksa.com,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,RE: Application - Industrial Engineer / Operations - Hasan A
crm@saco-ksa.com,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,Application - Industrial Engineer / Operations - Hasan Adam
cs@bindawood.com,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,Application — Supply Chain / Warehouse Operations Engineer —
customer.service@saudipaper.com,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,Application - Industrial Engineer / Operations - Hasan Adam
customercare@panda.com.sa,General/Other,Saudi/GCC,verified-Sent-delivered,DELIVERED,"Automate Panda's active roles — one submission, 15 platforms"
customerservice@alrajhitakaful.com,General/Other,Intl,verified-Sent-delivered,DELIVERED,Application for Takaful Position at Al Rajhi Takaful
customerservice@tamimimarkets.com,Logistics/Supply-Chain,Intl,verified-Sent-delivered,DELIVERED,Application for Logistics/Operations Position at Tamimi Mark
cv@aldawaa.com.sa,Logistics/Supply-Chain,Saudi/GCC,verified-Sent-delivered,DELIVERED,Application — Supply Chain / Inventory (Retail Pharmacy) — H
cv@alfransi.com.sa,Logistics/Supply-Chain,Saudi/GCC,verified-Sent-delivered,DELIVERED,Expressed Interest in Operations/Supply Chain Role at Alfran
cv@alrajhibank.com.sa,Engineering/IE,Saudi/GCC,verified-Sent-delivered,DELIVERED,Application - Industrial Engineering / Operations (Saudi Nat
cv@arabianfal.com,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,Application - Industrial Engineer / Operations | Hassan Adam
cv@striveoverseas.com,Logistics/Supply-Chain,Intl,verified-Sent-delivered,DELIVERED,Application for Operations/Supply Chain Role at Strive Overs
cv@tafear.com,Logistics/Supply-Chain,Intl,verified-Sent-delivered,DELIVERED,Application for Operations/Supply Chain Role at TafeaR
dpo@sal.sa,Logistics/Supply-Chain,Saudi/GCC,verified-Sent-delivered,DELIVERED,Application — Logistics / Operations (SAL) — Hassan Adam
elrahma@elrahma-hr.com,Logistics/Supply-Chain,Intl,verified-Sent-delivered,DELIVERED,Application for Operations/Supply-Chain Role
freight@anc-log.sa,Logistics/Supply-Chain,Saudi/GCC,verified-Sent-delivered,DELIVERED,Logistics hiring on autopilot — AutoApply SA (Jeddah)
hameed@saspserve.com,Logistics/Supply-Chain,Intl,verified-Sent-delivered,DELIVERED,Application — Operations/Supply Chain — Hassan Adam
hello@alromansiah.com,General/Other,Intl,verified-Sent-delivered,DELIVERED,Job Application Inquiry
hire@career-parsons.com,Logistics/Supply-Chain,Intl,verified-Sent-delivered,DELIVERED,Application — Logistics Co-ordinator (Tabuk) — Hassan Adam
hiring@bulkjob.in,General/Other,MENA/Intl,verified-Sent-delivered,DELIVERED,Job Opportunity Inquiry — Bulk Job In — Hassan Adam (Riyadh)
hr.dsfhr@fakeeh.care,Logistics/Supply-Chain,Intl,verified-Sent-delivered,DELIVERED,Application — Operations/Supply Chain (Healthcare) — Hassan 
hr.middleeast@aecom.com,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,Industrial Engineering Graduate - Application (Graduate Indu
hr.phc@drsulaimanalhabib.com,Logistics/Supply-Chain,Intl,verified-Sent-delivered,DELIVERED,Application for Operations/Supply Chain Position at Dr. Sula
hr@adesgroup.com,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,Application - Industrial Engineer / Operations - Hasan Adam
hr@alhudaifhr.com,Logistics/Supply-Chain,Intl,verified-Sent-delivered,DELIVERED,Application for Operations/Supply Chain Role at Al Hudaif HR
hr@aqwase.com,Recruiting/TA,Intl,verified-Sent-delivered,DELIVERED,Automate your hiring pipeline — AutoApply SA (Jeddah)
hr@arabiancement.com,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,Application for Industrial Engineer Position at Arabian Ceme
hr@asbisme.ae,Recruiting/TA,MENA/Intl,verified-Sent-delivered,DELIVERED,Hiring into KSA? Automated sourcing and AI CV screening — Au
hr@binharkil.com,Recruiting/TA,Intl,verified-Sent-delivered,DELIVERED,"Recruitment automation for Bin Harkil — faster shortlists, l"
hr@gemseducation.com,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,Application: Industrial Engineer (Process Optimization) - Ha
hr@gulftekarabia.com,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,Application – Estimation / Industrial Engineer (Dammam) – Ha
hr@herfy.com.sa,Engineering/IE,Saudi/GCC,verified-Sent-delivered,DELIVERED,Application for Industrial Engineer Position at Herfy
hr@mukoun.com.sa,General/Other,Saudi/GCC,verified-Sent-delivered,DELIVERED,Job Opportunity Inquiry — Mukoun Company — Hassan Adam (Riya
hr@saraya.sa,Engineering/IE,Saudi/GCC,verified-Sent-delivered,DELIVERED,Application: Industrial Engineer (Process Optimization / Saf
hr@saudia.com,Logistics/Supply-Chain,Intl,verified-Sent-delivered,DELIVERED,Application for Logistics and Operations Position at Saudia
hr@saudischools.com,Logistics/Supply-Chain,Intl,verified-Sent-delivered,DELIVERED,Application — Operations/Supply Chain — Hassan Adam
hr@sisco.com.sa,Logistics/Supply-Chain,Saudi/GCC,verified-Sent-delivered,DELIVERED,Application for Logistics and Operations Role at SISCO Saudi
hr@stc.com.sa,Engineering/IE,Saudi/GCC,verified-Sent-delivered,DELIVERED,Application for Industrial Engineer Position at STC
hr@unicoil.com.sa,Engineering/IE,Saudi/GCC,verified-Sent-delivered,DELIVERED,Industrial Engineering Graduate - Application (Industrial En
hradmin@gulftekarabia.com,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,RE: Application – Estimation / Industrial Engineer (Dammam) 
hrd@alahsahospital.com.sa,Engineering/IE,Saudi/GCC,verified-Sent-delivered,DELIVERED,"Application - Operations / Supply Chain | Hassan Adam, Indus"
hrd@mbtc.com.sa,Logistics/Supply-Chain,Saudi/GCC,verified-Sent-delivered,DELIVERED,Application for Operations/Supply Chain Role at MBTC
hrdepartmental@sa.yokogawa.com,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,Application - Industrial Engineer / Operations - Hasan Adam
hrsupport@archirodon.net,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,Application - Industrial Engineering / Project Operations (S
human.resources@redseahousing.com,Logistics/Supply-Chain,Intl,verified-Sent-delivered,DELIVERED,Application — Operations/Logistics Coordinator (Red Sea Glob
humanresources@obeidhospital.org,Healthcare,Intl,verified-Sent-delivered,DELIVERED,Automate Obeid Hospital recruitment across all departments
i.atassi@artar.com.sa,Engineering/IE,Saudi/GCC,verified-Sent-delivered,DELIVERED,Industrial Engineer / Operations Application — Hasan Adam
info@abunayyanholding.com,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,Application - Industrial Engineer / Operations - Hasan Adam
info@alargan.com.sa,Logistics/Supply-Chain,Saudi/GCC,verified-Sent-delivered,DELIVERED,Application for Logistics Position at Alargan Projects
info@albawani.net,Logistics/Supply-Chain,Intl,verified-Sent-delivered,DELIVERED,Application for Logistics and Operations Position
info@aldanube.com,Logistics/Supply-Chain,Intl,verified-Sent-delivered,DELIVERED,Application for Logistics and Operations Position at Al Danu
info@alesayi.com,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,Application — Industrial Engineer / Logistics — Hassan Adam 
info@alfozan.com,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,Application - Warehouse & Supply Chain Engineer - Hassan Ada
info@alhajry-overseas.com.sa,Logistics/Supply-Chain,Saudi/GCC,verified-Sent-delivered,DELIVERED,Application — Operations/Supply Chain — Hassan Adam
info@aljabr.com.sa,Engineering/IE,Saudi/GCC,verified-Sent-delivered,DELIVERED,Application — Operations / Procurement Engineer — Hassan Ada
info@aljomaih.com,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,Application — Supply Chain / Operations Engineer — Hassan Ad
info@aljouf.com.sa,Engineering/IE,Saudi/GCC,verified-Sent-delivered,DELIVERED,Application for Industrial Engineer Position at Al Jouf Agri
info@alkifah.com,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,Application — Supply Chain / Industrial Engineer | Hassan Ad
info@almoosahospital.com.sa,Logistics/Supply-Chain,Saudi/GCC,verified-Sent-delivered,DELIVERED,Application for Operations Position at Almoosa Specialist Ho
info@almuhaidib.com,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,Application - Procurement / Operations Engineer - Hassan Ada
info@alromansiah.com,Logistics/Supply-Chain,Intl,verified-Sent-delivered,DELIVERED,Application for Logistics Role in Saudi Arabia
info@alsaiflogistic.com,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,Industrial Engineering Graduate - Application (Logistics / O
info@alshalawi.com,Logistics/Supply-Chain,Intl,verified-Sent-delivered,DELIVERED,Application — Operations/Supply Chain — Hassan Adam
info@alsorayai.com,General/Other,Intl,verified-Sent-delivered,DELIVERED,Job Application for Al Sorayai Group
info@altaaqa.com,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,Application — Logistics & Operations Engineer — Hassan Adam 
info@americanarestaurants.com,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,Application - Industrial Engineer / Operations - Hasan Adam
info@amiantit.com,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,Application — Industrial Engineer / Operations — Hassan Adam
info@apc.com.sa,Engineering/IE,Saudi/GCC,verified-Sent-delivered,DELIVERED,Application — Industrial Engineer / Process & Operations — H
info@apparelgroup.com,Logistics/Supply-Chain,Intl,verified-Sent-delivered,DELIVERED,Application for Logistics and Operations Position at Apparel
info@arabianfal.com,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,Application — Industrial Engineer / Operations & Procurement
info@atco.com.sa,Engineering/IE,Saudi/GCC,verified-Sent-delivered,DELIVERED,"Application - Operations / Logistics | Hassan Adam, Industri"
info@bawan.com.sa,Engineering/IE,Saudi/GCC,verified-Sent-delivered,DELIVERED,Application — Industrial Engineer / Production & Supply Chai
info@becarabia.com,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,"Application — Purchasing / Procurement (Saudi National, Indu"
info@becsaudi.com,Logistics/Supply-Chain,Intl,verified-Sent-delivered,DELIVERED,Following up - Purchasing / Supply Chain application - Hassa
info@binharkil.com,Recruiting/TA,Intl,verified-Sent-delivered,DELIVERED,Cut your time-to-hire at Bin Harkil — automated recruitment 
info@care.med.sa,Recruiting/TA,Saudi/GCC,verified-Sent-delivered,DELIVERED,156 open roles — automate your entire recruitment pipeline
info@catrion.com,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,Application — Logistics & Operations Engineer — Hassan Adam 
info@chalhoub.com,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,Application - Supply Chain / Procurement (Jeddah) - Hasan Ad
info@dar.com,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,Industrial Engineering Graduate - Application (Graduate Plan
info@drakescull.com,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,Industrial Engineering Graduate - Application (Industrial / 
info@dussur.com,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,Application — Industrial Engineer / Operations Analyst | Has
info@eic.com.sa,Engineering/IE,Saudi/GCC,verified-Sent-delivered,DELIVERED,Application - Industrial Engineer / Operations - Hasan Adam
info@ejad.sa,Recruiting/TA,Saudi/GCC,verified-Sent-delivered,DELIVERED,Recruitment automation partnership — AutoApply SA (Jeddah)
info@el-seif.com.sa,Logistics/Supply-Chain,Saudi/GCC,verified-Sent-delivered,DELIVERED,Application — Site Logistics / Procurement (El Seif) — Hassa
info@eramtalent.com,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,Candidate Registration – Industrial Engineering / Supply Cha
info@familycare.com.sa,Logistics/Supply-Chain,Saudi/GCC,verified-Sent-delivered,DELIVERED,Healthcare Operations / Supply Chain Application — Hasan Ada
info@fipco.com.sa,Engineering/IE,Saudi/GCC,verified-Sent-delivered,DELIVERED,Application - Industrial Engineer / Production Planning - Ha
info@gasco.com,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,Application — Industrial Engineer / Operations — Hassan Adam
info@gulftekarabia.com,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,Application - Industrial / Estimation / QA Engineer (Saudi N
info@hadeed.com.sa,Engineering/IE,Saudi/GCC,verified-Sent-delivered,DELIVERED,Application - Industrial Engineer / Operations - Hasan Adam
info@halwani.com.sa,Engineering/IE,Saudi/GCC,verified-Sent-delivered,DELIVERED,Application — Supply Chain / Logistics Engineer — Hassan Ada
info@hassanallam.com,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,"Application - Planning / Operations Engineer - Hassan Adam
"
info@hijazmalls.com,Logistics/Supply-Chain,Intl,verified-Sent-delivered,DELIVERED,Hiring retail and operations staff faster — AutoApply SA
info@hillintl.com,Logistics/Supply-Chain,Intl,verified-Sent-delivered,DELIVERED,"Application - Logistics Representative, Saudi Arabia - Hasan"
info@hireeleven.com,Logistics/Supply-Chain,Intl,verified-Sent-delivered,DELIVERED,Application for Operations/Supply Chain Role at Hire Eleven
info@hirejubail.com,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,Application: Industrial Engineer (Process Optimization) - Ha
info@ipc.com.sa,Engineering/IE,Saudi/GCC,verified-Sent-delivered,DELIVERED,Application for Industrial Project Position
info@irf.com.sa,Engineering/IE,Saudi/GCC,verified-Sent-delivered,DELIVERED,Career Application — Industrial Engineer / Production & Oper
info@jamjoompharma.com,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,Application - Supply Chain / Production Engineer - Hassan Ad
info@jasarapmc.com,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,"Logistics / Supply Chain Application - Hasan Adam, Industria"
info@jasarapmc.com.sa,Logistics/Supply-Chain,Saudi/GCC,verified-Sent-delivered,DELIVERED,Following up on Logistics/Supply Chain Application
info@jeddah-cable.com,Recruiting/TA,Intl,verified-Sent-delivered,DELIVERED,Automated hiring for Jeddah Cable — technical roles filled i
info@jeraisy.com,Logistics/Supply-Chain,Intl,verified-Sent-delivered,DELIVERED,Application for Logistics/Operations Position at Jeraisy Gro
info@maadaniyah.com,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,Application - Industrial Engineer / Operations - Hassan Adam
info@mawref.com,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,Application — Logistics & Operations Coordinator | Industria
info@mayar.com,Logistics/Supply-Chain,Intl,verified-Sent-delivered,DELIVERED,Automated hiring support for your supply chain vacancies — A
info@mbl.com.sa,Engineering/IE,Saudi/GCC,verified-Sent-delivered,DELIVERED,Application - Industrial Engineer / Operations - Hasan Adam
info@mep.co,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,Application - Industrial Engineer / Operations - Hasan Adam
info@metito.com,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,Application - Industrial Engineer / Operations - Hasan Adam
info@modernmills.com.sa,Logistics/Supply-Chain,Saudi/GCC,verified-Sent-delivered,DELIVERED,Application for Logistics and Operations Position
info@mouwasat.com,Logistics/Supply-Chain,Intl,verified-Sent-delivered,DELIVERED,Application for Logistics Position at Mouwasat Medical Servi
info@mukamalah.com,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,Enquiry — graduate / entry-level opportunities (Industrial E
info@nabatat.com.sa,Engineering/IE,Saudi/GCC,verified-Sent-delivered,DELIVERED,Application — Operations / Procurement Engineer — Hassan Ada
info@najrancement.com,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,Industrial Engineering Graduate - Application (Industrial En
info@nesmapartners.com,Logistics/Supply-Chain,Intl,verified-Sent-delivered,DELIVERED,Application for Logistics/Operations Position at Nesma & Par
info@nupco.com,Logistics/Supply-Chain,Intl,verified-Sent-delivered,DELIVERED,Application for Logistics and Operations Position at NUPCO (
info@obeidhospitals.com,Healthcare,Intl,verified-Sent-delivered,DELIVERED,Automate Obeid Hospital recruitment across all departments
info@petromin.com,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,Application - Supply Chain / Operations Engineer - Hassan Ad
info@rajhisteel.com,Logistics/Supply-Chain,Intl,verified-Sent-delivered,DELIVERED,Application for Logistics and Operations Position at Al Rajh
info@ramclinics.com,Logistics/Supply-Chain,Intl,verified-Sent-delivered,DELIVERED,Healthcare Operations / Supply Chain Application — Hasan Ada
info@riyadhairports.com,Logistics/Supply-Chain,Intl,verified-Sent-delivered,DELIVERED,Application for Logistics/Operations Position
info@salla.sa,Logistics/Supply-Chain,Saudi/GCC,verified-Sent-delivered,DELIVERED,"Application for Logistics Position in Salla, Saudi Arabia"
info@sandsjeddah.com,Healthcare,Intl,verified-Sent-delivered,DELIVERED,Filling hospitality roles faster at Sands Hotel — AutoApply 
info@saned.com.sa,Engineering/IE,Saudi/GCC,verified-Sent-delivered,DELIVERED,"Industrial Engineering Graduate - Application (Industrial /"
info@saudicable.com,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,Application - Industrial / Production Engineer - Hassan Adam
info@saudiceramics.com,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,Application - Industrial Engineer / Operations - Hasan Adam
info@saudireadymix.com.sa,Engineering/IE,Saudi/GCC,verified-Sent-delivered,DELIVERED,Application — Industrial Engineer / Operations & Logistics |
info@savola.com,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,Application — Supply Chain / Industrial Engineer — Hassan Ad
info@seagullhr.com,Logistics/Supply-Chain,Intl,verified-Sent-delivered,DELIVERED,Application for Operations/Supply Chain Position
info@shawarmer.com,Recruiting/TA,Intl,verified-Sent-delivered,DELIVERED,"High-volume restaurant hiring, automated — AutoApply SA"
