email,status,evidence
customerservice@alrajhitakaful.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
customerservice@tamimimarkets.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
cv@aldawaa.com.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
cv@arabianfal.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
cv@marsoom.net,VERIFIED_DELIVERED,in Gmail Sent + no bounce
cv@striveoverseas.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
dpo@sal.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
elrahma@elrahma-hr.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
fatimah.zubaidi@zultec.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
freight@anc-log.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
hiring@suplift.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
hr-job@zomangroup.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
hr.cv@riyadhluxurylive.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
hr.department@alhakbanigroup.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
hr.department@nwbus.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
hr.dsfhr@fakeeh.care,VERIFIED_DELIVERED,in Gmail Sent + no bounce
hr.middleeast@aecom.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
hr.phc@drsulaimanalhabib.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
hr1@allureclinics.net,VERIFIED_DELIVERED,in Gmail Sent + no bounce
hr@address-group.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
hr@adesgroup.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
hr@aknan-group.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
hr@alhudaifhr.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
hr@almotawa.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
hr@alrakeen.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
hr@aqwase.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
hr@arabiancement.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
hr@asbisme.ae,VERIFIED_DELIVERED,in Gmail Sent + no bounce
hr@balancelab.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
hr@bconsult.com.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
hr@binharkil.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
hr@binshihonco.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
hr@daralcode.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
hr@espressoculture.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
hr@excellia.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
hr@gemseducation.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
hr@gulftekarabia.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
hr@ingaz.com.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
hr@rentmycar.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
hr@saraya.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
hr@saudia.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
hr@sctrd2.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
hr@sisco.com.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
hr@sukoon.com.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
hr@unicoil.com.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
hr_talent@alfalahauto.net,VERIFIED_DELIVERED,in Gmail Sent + no bounce
hradmin@gulftekarabia.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
hrd@alahsahospital.com.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
hrd@mbtc.com.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
hrksa.foodservice@transmed.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
hrsupport5@arabian-homes.com.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
human.resources@redseahousing.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
humanresources@obeidhospital.org,VERIFIED_DELIVERED,in Gmail Sent + no bounce
i.atassi@artar.com.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@abunayyanholding.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@aiedco.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@alargan.com.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@albawani.net,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@aldanube.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@alesayi.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@alfozan.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@alhajry-overseas.com.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@aljabr.com.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@aljomaih.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@aljouf.com.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@alkifah.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@almoosahospital.com.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@almuhaidib.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@alqunini.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@alshalawi.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@alsorayai.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@altaaqa.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@americanarestaurants.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@amiantit.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@apc.com.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@apparelgroup.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@arabianfal.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@atco.com.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@bawan.com.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@becarabia.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@becsaudi.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@binharkil.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@care.med.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@catrion.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@chalhoub.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@dar.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@drakescull.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@dussur.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@eic.com.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@ejad.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@eramtalent.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@familycare.com.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@fipco.com.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@gfsxpress.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@gulftekarabia.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@hadeed.com.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@halwani.com.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@hassanallam.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@hijazmalls.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@hillintl.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@hireeleven.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@hirejubail.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@ipc.com.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@irf.com.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@jamjoompharma.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@jasarapmc.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@jasarapmc.com.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@jeddah-cable.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@jeraisy.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@maadaniyah.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@mawref.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@mayar.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@mbl.com.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@mep.co,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@metito.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@modernmills.com.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@mouwasat.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@mukamalah.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@nabatat.com.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@najrancement.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@narges.com.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@nesmapartners.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@nupco.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@petromin.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@rajhisteel.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@ramclinics.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@realm-sa.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@riyadhairports.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@salla.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@sandsjeddah.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@saned.com.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@saudicable.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@saudiceramics.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@saudireadymix.com.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@savola.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@seagullhr.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@shawarmer.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@sipco.com.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@sirc.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@smsaexpress.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@spimaco.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@ssc-hr.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@tabukpharmaceuticals.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@tascoutsourcing.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@thiqah.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@wadi-jeddah.com.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@wood.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@yasref.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@zahid.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
info@zajil.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
infoksa@acts-int.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
infos@sisco.com.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
jasarapmc@jobs.workablemail.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
job123@sigmaksa.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
job2@yunitco.com.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
job@bluetoktok.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
job@herfy.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
job@mabani.com.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
job@otc.com.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
job@topazgulf.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
jobs@aeco.com.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
jobs@alarabgroup.com.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
jobs@alibinali.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
jobs@almajdouie.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
jobs@alyousufent.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
jobs@arvindglobal.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
jobs@awanre.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
jobs@ayk.global,VERIFIED_DELIVERED,in Gmail Sent + no bounce
jobs@binajinah.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
jobs@coffeebeansksa.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
jobs@fbs.com.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
jobs@jalint.com.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
jobs@luxuryksa.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
jobs@m2reducation.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
jobs@mawaridcom.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
jobs@miskschools.edu.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
jobs@nesma.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
jobs@olivearabia.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
jobs@ramzunited.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
jobs@saco-ksa.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
jobs@sghgroup.net,VERIFIED_DELIVERED,in Gmail Sent + no bounce
jobsksa@eandenterpriseksa.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
juffali@eajb.com.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
jw@seekteachers.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
kbr-amcdehr@kbr.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
khobar-jobs@ic.edu.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
klc.hr@alkafaa.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
kuagh.hr@hyatt.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
mail@alandalus.com.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
marketing.np@nesma.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
masheilalhamlaji@bfco.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
middleeast@naukrigulf.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
n.alsohaibani@salehiya.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
nasser@masharee.com.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
nationalizationteam@almarai.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
nourah@hamat-bs.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
oalkhunaizi@darwaemaar.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
oalshehri@esnad-emdad.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
pomsm_hr@hilton.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
qiddiya-investment-company-1@jobs.workablemail.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
rec@alojaimi.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
reception.ksa@leaders-fort.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
recruiting.ksa@mcdermott.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
recruitment.ksa@naffco.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
recruitment.ksa@redtag.ae,VERIFIED_DELIVERED,in Gmail Sent + no bounce
recruitment@abunayyanholding.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
recruitment@aldowayan.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
recruitment@algihaz.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
recruitment@alguthmi.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
recruitment@alinco.com.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
recruitment@almoosahospital.com.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
recruitment@aytb.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
recruitment@batook.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
recruitment@citycement.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
recruitment@defaflogistics.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
recruitment@eramtalent.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
recruitment@flowpl.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
recruitment@jesco.com.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
recruitment@rawabiholding.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
recruitment@riyadhair.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
recruitment@sabic.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
recruitment@savola.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
recruitment@seder.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
recruitment@shadeco.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
recruitment@sraco.com.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
recruitment@technogroupme.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
recruitment@tes.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
recruitment@yanbucement.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
s.alqablan@yr-global.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
salma.moharam@andalusiagroup.net,VERIFIED_DELIVERED,in Gmail Sent + no bounce
saudi.jobs@naqel.com.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
saudijobs@almeer-saudi.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
scw@saudconsult.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
shakawa@salla.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
shaker@andalusiagroup.net,VERIFIED_DELIVERED,in Gmail Sent + no bounce
siec@siec.com.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
sourcing2@menalimited.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
support@digitalocean.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
support@nana.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
support@saudiceramics.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
support@zerobounce.net,VERIFIED_DELIVERED,in Gmail Sent + no bounce
talent.acquisition@drsulaimanalhabib.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
talent@bazsteel.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
talent@indpt.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
tariq@kazsa.net,VERIFIED_DELIVERED,in Gmail Sent + no bounce
tcc@tcc.com.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
tm.ayanalghamdi@modernmills.com.sa,VERIFIED_DELIVERED,in Gmail Sent + no bounce
transport@aldrees.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
valvolineglobalcareers@valvolineglobal.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
wecare@othaimmarkets.com,VERIFIED_DELIVERED,in Gmail Sent + no bounce
